,symbol,numShares,date
451,GT,100.0,2009-08-28 00:00:00
452,INTU,-100.0,2009-08-28 00:00:00
453,MOS,100.0,2009-08-28 00:00:00
454,NTRS,100.0,2009-08-28 00:00:00
455,PM,100.0,2009-08-28 00:00:00
456,HCBK,-100.0,2009-09-01 00:00:00
457,ACN,-100.0,2009-09-04 00:00:00
458,EW,-100.0,2009-09-04 00:00:00
459,GT,-100.0,2009-09-04 00:00:00
460,MOS,-100.0,2009-09-04 00:00:00
461,NTRS,-100.0,2009-09-04 00:00:00
462,PM,-100.0,2009-09-04 00:00:00
463,AEE,100.0,2009-09-10 00:00:00
464,MON,100.0,2009-09-10 00:00:00
465,SHW,100.0,2009-09-10 00:00:00
466,NEE,100.0,2009-09-11 00:00:00
467,ORLY,100.0,2009-09-11 00:00:00
468,WMT,100.0,2009-09-14 00:00:00
469,KR,100.0,2009-09-15 00:00:00
470,DGX,100.0,2009-09-16 00:00:00
471,LH,100.0,2009-09-16 00:00:00
472,AEE,-100.0,2009-09-17 00:00:00
473,CLX,100.0,2009-09-17 00:00:00
474,F,100.0,2009-09-17 00:00:00
475,MON,-100.0,2009-09-17 00:00:00
476,SHW,-100.0,2009-09-17 00:00:00
477,TXN,100.0,2009-09-17 00:00:00
478,VZ,100.0,2009-09-17 00:00:00
479,CVH,100.0,2009-09-18 00:00:00
480,NEE,-100.0,2009-09-18 00:00:00
481,ORLY,-100.0,2009-09-18 00:00:00
482,AMAT,100.0,2009-09-21 00:00:00
483,KR,100.0,2009-09-21 00:00:00
484,MCO,100.0,2009-09-21 00:00:00
485,WMT,-100.0,2009-09-21 00:00:00
486,ACE,100.0,2009-09-22 00:00:00
487,KR,-100.0,2009-09-22 00:00:00
488,DGX,-100.0,2009-09-23 00:00:00
489,LH,-100.0,2009-09-23 00:00:00
490,CLX,-100.0,2009-09-24 00:00:00
491,F,-100.0,2009-09-24 00:00:00
492,TXN,-100.0,2009-09-24 00:00:00
493,VZ,-100.0,2009-09-24 00:00:00
494,CVH,-100.0,2009-09-25 00:00:00
